      S          J EXP       ERROR       J REG       I REG

  0.1542E+00  0.9128E+01  0.1467E+00  0.9149E+01  0.9149E+01
  0.1548E+00  0.8893E+01  0.1318E+00  0.9040E+01  0.9040E+01
  0.1554E+00  0.8983E+01  0.1311E+00  0.8934E+01  0.8934E+01
  0.1560E+00  0.8826E+01  0.1306E+00  0.8829E+01  0.8829E+01
  0.1566E+00  0.8881E+01  0.1361E+00  0.8727E+01  0.8727E+01
  0.1572E+00  0.8699E+01  0.1274E+00  0.8626E+01  0.8626E+01
  0.1578E+00  0.8516E+01  0.1264E+00  0.8527E+01  0.8527E+01
  0.1584E+00  0.8460E+01  0.1249E+00  0.8430E+01  0.8430E+01
  0.1590E+00  0.8207E+01  0.1287E+00  0.8335E+01  0.8335E+01
  0.1596E+00  0.8003E+01  0.1249E+00  0.8241E+01  0.8241E+01
  0.1602E+00  0.7979E+01  0.1302E+00  0.8149E+01  0.8149E+01
  0.1608E+00  0.7998E+01  0.1259E+00  0.8059E+01  0.8059E+01
  0.1615E+00  0.7891E+01  0.1279E+00  0.7970E+01  0.7970E+01
  0.1621E+00  0.7696E+01  0.1194E+00  0.7883E+01  0.7883E+01
  0.1627E+00  0.7585E+01  0.1185E+00  0.7798E+01  0.7798E+01
  0.1633E+00  0.7763E+01  0.1222E+00  0.7714E+01  0.7714E+01
  0.1639E+00  0.7590E+01  0.1279E+00  0.7631E+01  0.7631E+01
  0.1645E+00  0.7548E+01  0.1303E+00  0.7551E+01  0.7551E+01
  0.1651E+00  0.7399E+01  0.1302E+00  0.7471E+01  0.7471E+01
  0.1657E+00  0.7264E+01  0.1340E+00  0.7394E+01  0.7394E+01
  0.1663E+00  0.7111E+01  0.1327E+00  0.7317E+01  0.7317E+01
  0.1669E+00  0.7099E+01  0.1359E+00  0.7243E+01  0.7243E+01
  0.1675E+00  0.6999E+01  0.1388E+00  0.7169E+01  0.7169E+01
  0.1681E+00  0.6885E+01  0.1368E+00  0.7097E+01  0.7097E+01
  0.1688E+00  0.6837E+01  0.1558E+00  0.7027E+01  0.7027E+01
  0.1694E+00  0.6722E+01  0.1278E+00  0.6958E+01  0.6958E+01
  0.1700E+00  0.6698E+01  0.1229E+00  0.6890E+01  0.6890E+01
  0.1706E+00  0.6691E+01  0.1258E+00  0.6824E+01  0.6824E+01
  0.1712E+00  0.6824E+01  0.1612E+00  0.6759E+01  0.6759E+01
  0.1718E+00  0.6831E+01  0.2394E+00  0.6695E+01  0.6695E+01
  0.1724E+00  0.6856E+01  0.5091E+00  0.6633E+01  0.6633E+01
  0.1730E+00  0.6792E+01  0.2395E+00  0.6572E+01  0.6572E+01
  0.1736E+00  0.6714E+01  0.1273E+00  0.6512E+01  0.6512E+01
  0.1742E+00  0.6498E+01  0.1257E+00  0.6454E+01  0.6454E+01
  0.1748E+00  0.6515E+01  0.1265E+00  0.6397E+01  0.6397E+01
