# SAXS profile: number of points = 498, q_min = 0.025234, q_max = 0.32741, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 5.78375254032406e-06, Chi = 1.76369476318359
#  q       exp_intensity   model_intensity
0.17663    5.33232000      5.82391200     
0.17723    5.26508000      5.72175082     
0.17784    5.04199000      5.62164373     
0.17845    4.97697000      5.52411813     
0.17906    4.91512000      5.42782526     
0.17967    4.92029000      5.33462696     
0.18027    4.79660000      5.24303832     
0.18088    4.84960000      5.15309912     
0.18149    4.68833000      5.06617206     
0.18210    4.60178000      4.98047291     
0.18271    4.28626000      4.89778829     
0.18331    4.32556000      4.81691203     
0.18392    4.39186000      4.73772894     
0.18453    4.44185000      4.66163975     
0.18514    4.49142000      4.58679705     
0.18575    4.28531000      4.51464888     
0.18635    4.12323000      4.44456211     
0.18696    4.06882000      4.37569422     
0.18757    3.91772000      4.31031092     
0.18818    3.93861000      4.24617828     
0.18879    3.80875000      4.18454839     
0.18939    3.76337000      4.12505207     
0.19000    3.71219000      4.06672626     
0.19061    3.63958000      4.01193695     
0.19122    3.63236000      3.95827603     
0.19183    3.63108000      3.90663380     
0.19243    3.58417000      3.85717553     
0.19304    3.64597000      3.80912066     
0.19365    3.60371000      3.76391788     
0.19426    3.55680000      3.72004710     
0.19487    3.36736000      3.67798329     
0.19547    3.35953000      3.63823611     
0.19608    3.32904000      3.59953685     
0.19669    3.33587000      3.56335855     
0.19730    3.33572000      3.52852187     
0.19791    3.45606000      3.49488572     
0.19851    3.26588000      3.46376485     
0.19912    3.19588000      3.43356233     
0.19973    3.13235000      3.40532985     
0.20034    3.18753000      3.37846306     
0.20095    3.19016000      3.35268720     
0.20155    3.05819000      3.32897539     
0.20216    3.05238000      3.30604686     
0.20277    3.01716000      3.28472088     
0.20338    3.00169000      3.26443892     
0.20399    3.04881000      3.24507584     
0.20459    3.04416000      3.22754669     
0.20520    3.04268000      3.21061211     
