# x and average y for the best solution found, chi=0.174993
#  q       exp_intensity   weighted_intensity
0.273920 0.064660 0.085149
0.274530 0.095080 0.084601
0.275130 0.108666 0.084073
0.275740 0.094593 0.083557
0.276350 0.113934 0.083061
0.276960 0.104842 0.082579
0.277570 0.115497 0.082123
0.278170 0.152636 0.081683
0.278780 0.129004 0.081253
0.279390 0.104170 0.080840
0.280000 0.088765 0.080437
0.280600 0.095136 0.080060
0.281210 0.090510 0.079687
0.281820 0.081205 0.079330
0.282430 0.081327 0.078985
0.283040 0.097457 0.078646
0.283640 0.082809 0.078331
0.284250 0.125834 0.078020
0.284860 0.088380 0.077719
0.285470 0.090834 0.077429
0.286080 0.078345 0.077144
0.286680 0.075709 0.076878
0.287290 0.062049 0.076614
0.287900 0.057088 0.076359
0.288510 0.075031 0.076113
0.289120 0.071397 0.075872
0.289720 0.043498 0.075645
0.290330 0.042849 0.075419
0.290940 0.046575 0.075197
0.291550 0.023206 0.074988
0.292150 0.073957 0.074785
0.292760 0.029008 0.074584
0.293370 0.042125 0.074387
0.293980 0.008655 0.074193
0.294590 0.047600 0.074009
0.295190 0.015914 0.073830
0.295800 0.003944 0.073651
0.296410 0.063255 0.073475
0.297630 0.057435 0.073132
0.298230 0.048267 0.072968
0.298840 0.028740 0.072805
0.299450 0.083519 0.072641
0.300060 0.057963 0.072478
0.300670 0.092065 0.072320
0.301270 0.021753 0.072165
0.301880 0.060659 0.072008
0.302490 0.028781 0.071852
0.303100 0.062217 0.071697
0.303710 0.029890 0.071541
0.304310 0.019138 0.071387
0.304920 0.045203 0.071228
0.305530 0.067482 0.071070
0.306140 0.070424 0.070912
0.306740 0.060580 0.070758
0.307350 0.058956 0.070598
0.307960 0.038057 0.070436
0.308570 0.088444 0.070274
0.309180 0.063753 0.070110
0.309780 0.066472 0.069947
0.310390 0.050356 0.069781
0.311000 0.052094 0.069614
0.311610 0.040091 0.069442
0.312220 0.029797 0.069269
0.312820 0.033552 0.069098
0.313430 0.063542 0.068921
0.314040 0.057858 0.068742
0.314650 0.100148 0.068561
0.315260 0.073601 0.068378
0.315860 0.055545 0.068198
0.316470 0.070729 0.068013
0.317080 0.101674 0.067826
0.317690 0.075595 0.067633
0.318290 0.056642 0.067445
0.318900 0.075255 0.067258
0.320120 0.083853 0.066870
0.320730 0.084334 0.066675
0.321330 0.081063 0.066483
0.321940 0.042587 0.066286
0.322550 0.104508 0.066089
