      S          J EXP       ERROR       J REG       I REG

  0.3734E+00  0.8277E-02  0.1291E-02  0.6534E-02  0.6534E-02
  0.3749E+00  0.8732E-02  0.1268E-02  0.6513E-02  0.6513E-02
  0.3763E+00  0.6151E-02  0.1269E-02  0.6491E-02  0.6491E-02
  0.3777E+00  0.5888E-02  0.1242E-02  0.6469E-02  0.6469E-02
  0.3792E+00  0.7353E-02  0.1261E-02  0.6447E-02  0.6447E-02
  0.3806E+00  0.4998E-02  0.1241E-02  0.6423E-02  0.6423E-02
  0.3820E+00  0.5233E-02  0.1229E-02  0.6399E-02  0.6399E-02
  0.3834E+00  0.8043E-02  0.1268E-02  0.6374E-02  0.6374E-02
  0.3849E+00  0.6558E-02  0.1283E-02  0.6348E-02  0.6348E-02
  0.3863E+00  0.5140E-02  0.1231E-02  0.6321E-02  0.6321E-02
  0.3877E+00  0.5072E-02  0.1227E-02  0.6294E-02  0.6294E-02
  0.3891E+00  0.6406E-02  0.1232E-02  0.6266E-02  0.6266E-02
  0.3906E+00  0.4824E-02  0.1216E-02  0.6236E-02  0.6236E-02
  0.3920E+00  0.4871E-02  0.1243E-02  0.6206E-02  0.6206E-02
  0.3934E+00  0.6268E-02  0.1242E-02  0.6175E-02  0.6175E-02
  0.3949E+00  0.8221E-02  0.1262E-02  0.6143E-02  0.6143E-02
  0.3963E+00  0.6995E-02  0.1267E-02  0.6110E-02  0.6110E-02
  0.3977E+00  0.8437E-02  0.1228E-02  0.6076E-02  0.6076E-02
  0.3991E+00  0.9314E-02  0.1244E-02  0.6042E-02  0.6042E-02
  0.4006E+00  0.8111E-02  0.1254E-02  0.6006E-02  0.6006E-02
  0.4020E+00  0.7771E-02  0.1243E-02  0.5971E-02  0.5971E-02
  0.4034E+00  0.6196E-02  0.1215E-02  0.5934E-02  0.5934E-02

           Distance distribution  function of particle  


       R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.1028E+01  0.8011E-04  0.1611E-05
  0.2056E+01  0.1602E-03  0.2339E-05
  0.3083E+01  0.2416E-03  0.2325E-05
  0.4111E+01  0.3265E-03  0.1809E-05
  0.5139E+01  0.4177E-03  0.1256E-05
  0.6167E+01  0.5181E-03  0.1473E-05
  0.7195E+01  0.6302E-03  0.2266E-05
  0.8222E+01  0.7563E-03  0.3001E-05
  0.9250E+01  0.8977E-03  0.3456E-05
  0.1028E+02  0.1055E-02  0.3592E-05
  0.1131E+02  0.1227E-02  0.3502E-05
  0.1233E+02  0.1412E-02  0.3385E-05
  0.1336E+02  0.1608E-02  0.3470E-05
  0.1439E+02  0.1812E-02  0.3837E-05
  0.1542E+02  0.2019E-02  0.4355E-05
  0.1644E+02  0.2225E-02  0.4833E-05
  0.1747E+02  0.2427E-02  0.5143E-05
  0.1850E+02  0.2621E-02  0.5257E-05
  0.1953E+02  0.2805E-02  0.5245E-05
  0.2056E+02  0.2976E-02  0.5250E-05
  0.2158E+02  0.3134E-02  0.5414E-05
  0.2261E+02  0.3277E-02  0.5793E-05
  0.2364E+02  0.3406E-02  0.6318E-05
