# SAXS profile: number of points = 511, q_min = 0.012467, q_max = 0.322547, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 4.11617164374988e-05, Chi = 4.48958827903763
#  q       exp_intensity   model_intensity
0.25202    1.90522000      1.84387399     
0.25263    1.65108000      1.85275129     
0.25323    1.68306000      1.86149889     
0.25384    1.76138000      1.87004063     
0.25445    1.70700000      1.87830749     
0.25506    1.77031000      1.88643912     
0.25567    1.78552000      1.89420298     
0.25627    1.79423000      1.90173583     
0.25688    1.85021000      1.90898892     
0.25749    1.75474000      1.91598001     
0.25810    1.69243000      1.92283474     
0.25871    1.81016000      1.92930935     
0.25932    1.97933000      1.93553445     
0.25992    1.82348000      1.94152744     
0.26053    1.87019000      1.94708790     
0.26114    1.81762000      1.95249243     
0.26175    1.82270000      1.95758248     
0.26236    1.85925000      1.96234251     
0.26296    1.90765000      1.96686732     
0.26357    1.70923000      1.97099568     
0.26418    1.81963000      1.97495054     
0.26479    1.72009000      1.97855111     
0.26539    1.83709000      1.98184190     
0.26600    1.90963000      1.98496337     
0.26661    1.81889000      1.98762727     
0.26722    1.90156000      1.99013535     
0.26783    1.83934000      1.99236665     
0.26843    1.84256000      1.99423500     
0.26904    1.82260000      1.99593181     
0.26965    1.89922000      1.99727139     
0.27026    1.86216000      1.99840132     
0.27087    1.93336000      1.99924871     
0.27148    1.87353000      1.99984037     
0.27208    1.91580000      2.00030039     
0.27269    1.73889000      2.00038073     
0.27330    1.92373000      2.00025313     
0.27391    1.75752000      1.99991060     
0.27452    1.83295000      1.99932683     
0.27512    1.81197000      1.99862146     
0.27573    1.90051000      1.99760839     
0.27634    1.87358000      1.99644169     
0.27695    1.86573000      1.99515307     
0.27755    1.65456000      1.99362646     
0.27816    1.74275000      1.99198807     
0.27877    1.89838000      1.99010653     
0.27938    1.71997000      1.98812073     
0.27999    1.95191000      1.98607192     
0.28059    1.88618000      1.98376885     
0.28120    1.83668000      1.98141073     
0.28181    1.86590000      1.97895387     
0.28242    1.75254000      1.97638091     
0.28303    1.85036000      1.97374964     
0.28364    1.83323000      1.97099075     
0.28424    1.64700000      1.96819619     
0.28485    1.85555000      1.96534804     
0.28546    1.83613000      1.96242653     
0.28607    1.86710000      1.95947447     
0.28668    1.86967000      1.95646794     
0.28728    1.64043000      1.95349491     
0.28789    1.69222000      1.95056036     
0.28850    1.68435000      1.94757288     
0.28911    1.73719000      1.94457489     
0.28972    1.77585000      1.94158187     
0.29032    1.63416000      1.93863388     
0.29093    1.53379000      1.93572561     
0.29154    1.56839000      1.93289078     
0.29215    1.71354000      1.93008475     
0.29275    1.84840000      1.92733958     
0.29336    1.77916000      1.92466250     
0.29397    1.84338000      1.92203137     
0.29458    1.72907000      1.91959632     
0.29519    1.67535000      1.91720611     
0.29579    1.63696000      1.91489478     
0.29640    1.62021000      1.91271599     
0.29701    1.70874000      1.91060869     
0.29762    1.73708000      1.90872177     
0.29823    1.70029000      1.90692455     
0.29884    1.81383000      1.90527791     
0.29944    1.64914000      1.90384102     
0.30005    1.77396000      1.90249953     
0.30066    1.56254000      1.90134659     
0.30127    1.68565000      1.90031205     
0.30188    1.49300000      1.89942874     
0.30248    1.61237000      1.89877793     
0.30309    1.59760000      1.89823279     
0.30370    1.56057000      1.89794614     
0.30431    1.57831000      1.89780624     
0.30491    1.47818000      1.89781023     
0.30552    1.58219000      1.89808169     
0.30613    1.46829000      1.89847670     
0.30674    1.43458000      1.89916325     
0.30735    1.59243000      1.90001980     
0.30795    1.52948000      1.90100421     
0.30856    1.59926000      1.90237695     
0.30917    1.61691000      1.90384609     
0.30978    1.57457000      1.90548224     
0.31039    1.75599000      1.90737901     
0.31100    1.62968000      1.90942464     
0.31160    1.82450000      1.91174204     
0.31221    1.52869000      1.91419595     
0.31282    1.49244000      1.91690246     
0.31343    1.53721000      1.91984232     
0.31404    1.47028000      1.92289922     
0.31464    1.40338000      1.92625287     
0.31525    1.46011000      1.92978177     
0.31586    1.29164000      1.93355997     
0.31647    1.44218000      1.93755643     
0.31707    1.39445000      1.94164846     
0.31768    1.42564000      1.94595141     
0.31829    1.59349000      1.95044894     
0.31890    1.58907000      1.95515844     
0.31951    1.49214000      1.96006537     
0.32011    1.44915000      1.96508932     
0.32072    1.43209000      1.97044630     
0.32133    1.63407000      1.97591757     
0.32194    1.62238000      1.98148451     
0.32255    1.72651000      1.98726096     
